NR_155143.1	Geastrum pusillipilosum UFRN Fungos 2315 ITS region; from TYPE material
NR_155142.1	Geastrum ishikawae UFRN Fungos 2785 ITS region; from TYPE material
NR_155141.1	Gaeumannomyces walkeri CPC 26028 ITS region; from TYPE material
NR_155140.1	Gaeumannomyces setariicola CPC 26059 ITS region; from TYPE material
NR_155139.1	Gaeumannomyces oryzicola CPC 26063 ITS region; from TYPE material
NR_155138.1	Gaeumannomyces hyphopodioides CBS 350.77 ITS region; from TYPE material
NR_155137.1	Gaeumannomyces glycinicola CPC 26057 ITS region; from TYPE material
NR_155136.1	Gaeumannomyces fusiformis CPC 26068 ITS region; from TYPE material
NR_155135.1	Gaeumannomyces californicus CPC 26044 ITS region; from TYPE material
NR_155134.1	Gaeumannomyces avenae CPC 26258 ITS region; from TYPE material
NR_155133.1	Gaeumannomyces australiensis CPC 26058 ITS region; from TYPE material
NR_155132.1	Genea cephalonicae MCVE 29055 ITS region; from TYPE material
NR_155131.1	Glutinoglossum methvenii PDD 103629 ITS region; from TYPE material
NR_155130.1	Glutinoglossum exiguum PDD 103574 ITS region; from TYPE material
NR_155129.1	Glutinoglossum australasicum PDD 103623 ITS region; from TYPE material
NR_155128.1	Gaeumannomyces arxii ITS region; from TYPE material
NR_155127.1	Gaeumannomyces ellisiorum CBS 387.81 ITS region; from TYPE material
NR_155126.1	Gaeumannomyces graminicola CBS 352.93 ITS region; from TYPE material
NR_155125.1	Geastrum minutisporum CORD 14 ITS region; from TYPE material
NR_155124.1	Genea tuberculata AH 44178 ITS region; from TYPE material
NR_155123.1	Genea oxygala AH 44177 ITS region; from TYPE material
NR_155122.1	Genea pseudoverrucosa AH 44160 ITS region; from TYPE material
NR_155121.1	Genea pseudobalsleyi AH 44156 ITS region; from TYPE material
NR_155120.1	Genea pinicola AH 44153 ITS region; from TYPE material
NR_155119.1	Genea fageticola AH 44122 ITS region; from TYPE material
NR_155118.1	Genea compressa AH 44118 ITS region; from TYPE material
NR_155117.1	Genea brunneocarpa AH 44113 ITS region; from TYPE material
NR_155116.1	Grosmannia francke-grosmanniae CBS 356.77 ITS region; from TYPE material
NR_155115.1	Gliocephalotrichum queenslandicum CBS 114868 ITS region; from TYPE material
NR_155114.1	Gyoerffyella tricapillata CBS 451.64 ITS region; from TYPE material
