NR_155364.1	Moesziomyces rugulosus JCM 10323 ITS region; from TYPE material	84752	Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,Moesziomyces rugulosus
NR_155363.1	Microsporomyces orientalis CBS 8594 ITS region; from TYPE material	1123720	Eukaryota,Basidiomycota,Cystobasidiomycetes,,,Microsporomyces,Microsporomyces orientalis
NR_155362.1	Metschnikowia noctiluminum NRRL Y-27753 ITS region; from TYPE material	280590	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia noctiluminum
NR_155361.1	Mrakia robertii CBS 8912 ITS region; from TYPE material	696253	Eukaryota,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia robertii
NR_155360.1	Mrakia blollopis CBS 8921 ITS region; from TYPE material	696254	Eukaryota,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia blollopis
NR_155359.1	Mrakia nivalis CBS 5266 ITS region; from TYPE material	105765	Eukaryota,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia nivalis
NR_155358.1	Memnoniella longistipitata ATCC 22699 ITS region; from TYPE material	1859670	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Memnoniella,Memnoniella longistipitata
NR_155357.1	Malbranchea flocciformis IFM 41298 ITS region; from TYPE material	465704	Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,,Malbranchea,Malbranchea flocciformis
NR_155356.1	Malbranchea chrysosporioidea IFM 41294 ITS region; from TYPE material	465701	Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,,Malbranchea,Malbranchea chrysosporioidea
NR_154199.1	Martiniozyma asiatica CBS 10863 ITS region; from TYPE material	148097	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Martiniozyma,Martiniozyma asiatica
NR_155346.1	Lactifluus pectinatus TOGO MD140 ITS region; from TYPE material	1514122	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus pectinatus
NR_155345.1	Lactifluus melleus TOGO MD157 ITS region; from TYPE material	1514121	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus melleus
NR_155344.1	Lactifluus longibasidius TOGO MD156 ITS region; from TYPE material	1514120	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus longibasidius
NR_155343.1	Lactifluus flavellus TOGO MD393 ITS region; from TYPE material	1514119	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus flavellus
NR_155342.1	Lipomyces yamanashiensis NBRC 110621 ITS region; from TYPE material	1930691	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces yamanashiensis
NR_155341.1	Lipomyces okinawensis NBRC 110620 ITS region; from TYPE material	1930690	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces okinawensis
NR_155340.1	Lindgomyces pseudomadisonensis HHUF 30513 ITS region; from TYPE material	1843229	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Lindgomyces,Lindgomyces pseudomadisonensis
NR_155339.1	Lophiotrema fallopiae HHUF 30506 ITS region; from TYPE material	1843228	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Lophiotremataceae,Lophiotrema,Lophiotrema fallopiae
NR_155338.1	Lectera capsici ITS region; from TYPE material	2014840	Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Lectera,Lectera capsici
NR_155337.1	Libertasomyces quercus CBS 134.97 ITS region; from TYPE material	2012444	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,,Libertasomyces,Libertasomyces quercus
NR_155336.1	Libertasomyces platani CPC 29609 ITS region; from TYPE material	1960831	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,,Libertasomyces,Libertasomyces platani
NR_155335.1	Lipomyces suomiensis CBS 7251 ITS region; from TYPE material	1337062	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces suomiensis
NR_155334.1	Lipomyces arxii CBS 7333 ITS region; from TYPE material	56418	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces arxii
NR_155333.1	Leucosporidium fasciculatum CBS 8786 ITS region; from TYPE material	231211	Eukaryota,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium fasciculatum
NR_155332.1	Leucosporidium yakuticum CBS 8621 ITS region; from TYPE material	231218	Eukaryota,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium yakuticum
NR_155331.1	Lachancea nothofagi CBS 11611 ITS region; from TYPE material	679534	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea nothofagi
NR_155330.1	Lachancea mirantina CBS 11717 ITS region; from TYPE material	1230905	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea mirantina
NR_155329.1	Lipomyces anomalus CBS 6740 ITS region; from TYPE material	1337061	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces anomalus
NR_155328.1	Leptosphaeria cirsii MFLUCC 14-1170 ITS region; from TYPE material	1911193	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,Leptosphaeria cirsii
NR_155327.1	Lauriomyces ellipticus BCC 4007 ITS region; from TYPE material	2022203	Eukaryota,Ascomycota,Leotiomycetes,,,Lauriomyces,Lauriomyces ellipticus
NR_155326.1	Lauriomyces cylindricus BCC 18576 ITS region; from TYPE material	2022202	Eukaryota,Ascomycota,Leotiomycetes,,,Lauriomyces,Lauriomyces cylindricus
NR_155325.1	Lophodermium pini-taiwanensis BJTC 201603 ITS region; from TYPE material	1868316	Eukaryota,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Lophodermium,Lophodermium pini-taiwanensis
NR_155324.1	Lactifluus umbonatus CAL 1241 ITS region; from TYPE material	1808366	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus umbonatus
NR_155323.1	Leptosphaeria ebuli MFLUCC 14-0828 ITS region; from TYPE material	1658228	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,Leptosphaeria ebuli
NR_155322.1	Lactifluus tropicosinicus KUN F59627 ITS region; from TYPE material	1699618	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus tropicosinicus
NR_155321.1	Leucoagaricus asiaticus LAH 10012012 ITS region; from TYPE material	1632792	Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus asiaticus
NR_155320.1	Leucoagaricus subcrystallifer HKAS 49373 ITS region; from TYPE material	1569707	Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus subcrystallifer
NR_155319.1	Leucoagaricus truncatus HKAS 49288 ITS region; from TYPE material	1569709	Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus truncatus
NR_155318.1	Leucoagaricus subpurpureolilacinus HKAS 48285 ITS region; from TYPE material	1569708	Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus subpurpureolilacinus
NR_155317.1	Lasiodiplodia indica PAN 30202 ITS region; from TYPE material	1571745	Eukaryota,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia indica
NR_155316.1	Leptoxyphium glochidion IFRDCC 2651 ITS region; from TYPE material	1540258	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,Leptoxyphium,Leptoxyphium glochidion
NR_155315.1	Lactarius bisporus GENT FH12-160 ITS region; from TYPE material	1500255	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius bisporus
NR_155314.1	Leucoagaricus tangerinus HKAS 50036 ITS region; from TYPE material	1514859	Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,Leucoagaricus tangerinus
NR_155313.1	Lemonniera centrosphaera CCM F-149 ITS region; from TYPE material	359792	Eukaryota,Ascomycota,,,,Lemonniera,Lemonniera centrosphaera
NR_155312.1	Lactifluus subpruinosus KUN F73639 ITS region; from TYPE material	1388779	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus subpruinosus
NR_155311.1	Lactifluus ambicystidiatus KUN F57008 ITS region; from TYPE material	1388776	Eukaryota,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,Lactifluus ambicystidiatus
NR_155310.1	Leucosporidium escuderoi CBS 12734 ITS region; from TYPE material	1084249	Eukaryota,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium escuderoi
